"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.40551681955209e-33,303,4465,1.97043001958638,"GO:0003676 Nucleic acid binding ","https://amigo.geneontology.org/amigo/term/GO:0003676"," IREB2  EME1  MATR3  AQR  BCLAF1  MTREX  POLR2B  TPR  ZFR  RC3H2  CCAR1  PKN2  ZC3H15  THUMPD1  HLTF  SMC1A  ZNF638  PUM3  HSP90AA1  TNPO1  MTIF2  RBM27  SUPT16H  CDC5L  ZC3H14  PNN  ZNF106  EIF3A  SEC23IP  DHX15  EIF4G2  TCERG1  XRN1  WDR75  SF3B1  CEBPZ  FASTKD2  HEATR1  PTBP3  UTP20  DEK  CNOT1  NSRP1  KTN1  MACF1  SYNE1  TOP2A  PNISR  ROCK2  RC3H1  NCBP1  SLTM  NUSAP1  LRPPRC  USO1  SCAF11  MBNL2  CLTC  DDX46  MKI67  MBNL1  SMG1  EIF5B  SON  RAVER2  DHX57  U2SURP  NAA15  OTUD4  VIRMA  BMS1  NMD3  NOC3L  LARP7  SRP72  DHX36  KPNA2  PRPF40A  NOL8  DZIP3  DDX3X  PRKDC  ZNF195  ZFX  E2F2  ARID4A  RFC1  PER3  TAF2  MCM10  ZBTB11  SRBD1  RBL1  PALB2  REST  ATRX  ZNF302  WDR76  CDC45  HIF1A  DICER1  RBBP8  POLA1  NBN  TRPS1  SMC3  RAD51AP1  ZNF451  MSH3  BBX  TAF1B  ATF2  MSH6  NR5A2  MYB  ZNF430  KLF12  THOC2  MCM8  POT1  E2F8  CLOCK  ORC3  ZNF189  DNA2  RB1  CENPC  ZNF92  ARID5B  THRB  DCLRE1C  PAN3  CHD1  BACH1  REL  SMC6  SMARCAD1  CWC22  ZNF148  ZNF12  ZNF367  NEMF  E2F7  CPSF2  ZNF146  ZNF83  RBPJ  ZNF30  FOXN2  ZNF160  SLFN11  ZNF680  MGA  NR1D2  ZNF519  ERCC4  ATAD5  USF3  ZBTB33  ZNF518A  GEN1  SUZ12  ZFP3  RFX7  ZNF708  ZNF438  LIN9  ZNF730  ZFP1  MYBL1  ZNF267  ZNF566  ZBTB6  ZNF793  ZNF600  ZNF724  ZNF681  ZNF107  ZNF799  XRCC2  ZNF136  ZNF700  ZNF675  ZNF695  ZNF84  ZNF770  ZKSCAN8  DCLRE1A  ZNF616  ZNF611  ZNF891  ZNF736  ZNF718  ZNF260  PABPC4L  ZNF850  ZNF224  DCP1A  RECQL  BRCA1  POLR3B  MRE11  RAD18  KDM5A  MCM6  PDS5B  RRN3  RAD54L  CLSPN  MSH2  NEIL3  TRIM24  TUBA1B  CCNT1  RFC3  EPRS1  CDK5RAP2  BARD1  BRCA2  MMS22L  GABPA  RNF20  CUL4B  MORC3  HSP90B1  FAM111A  EXO1  NRIP1  ARID2  LIN54  BLM  TOPORS  DBF4  PIAS1  ZZZ3  POLQ  GPBP1  TP53BP1  TOP2B  THOC1  XPO1  DIS3  NCOA1  ORC1  KIF4A  BTAF1  POLE2  SMCHD1  POLI  CAPRIN2  SMC4  KAT2B  TTF2  DARS2  MND1  HJURP  BAZ2B  NUP153  AKAP9  PUS7L  MIS18BP1  CEP350  SETDB2  BRIP1  SMC2  DSCC1  NCOA2  FANCI  NCOR1  ZNF462  UHMK1  RANBP2  AHCTF1  KAT6B  PAXBP1  MYSM1  TOPBP1  PBRM1  RAD21  ENOX2  ZMAT1  MARF1  TET2  ZNF507  PRDM10  PHC3  DENND4A  MSL2  ATR  PARPBP  ERCC6L  SYCP2  IARS1  ERI2  RAD54B  ENPP1  WDHD1  ARHGEF28  ZBED6  KAT7  SUV39H2  PARP4  KIF2C"
4.30933938424635e-32,220,2748,2.32458698824432,"GO:0003677 Dna binding ","https://amigo.geneontology.org/amigo/term/GO:0003677"," EME1  ZNF195  ZFX  E2F2  BCLAF1  ARID4A  RFC1  PER3  TAF2  MCM10  ZBTB11  SMC1A  RBL1  PALB2  REST  ATRX  ZNF302  WDR76  CDC45  CDC5L  HIF1A  RBBP8  POLA1  NBN  TRPS1  SMC3  RAD51AP1  ZNF451  MSH3  BBX  TAF1B  ATF2  MSH6  NR5A2  MYB  ZNF430  KLF12  MCM8  POT1  E2F8  CLOCK  ORC3  ZNF189  SLTM  RB1  CENPC  ZNF92  ARID5B  THRB  DCLRE1C  CHD1  BACH1  REL  SMC6  SMARCAD1  ZNF148  ZNF12  ZNF367  E2F7  ZNF146  ZNF83  RBPJ  ZNF30  FOXN2  ZNF160  ZNF680  MGA  NR1D2  DHX36  ZNF519  ERCC4  ATAD5  USF3  ZBTB33  ZNF518A  GEN1  SUZ12  ZFP3  RFX7  ZNF708  ZNF438  LIN9  ZNF730  ZFP1  MYBL1  ZNF267  ZNF566  ZBTB6  ZNF793  ZNF600  ZNF724  ZNF681  ZNF107  ZNF799  XRCC2  ZNF136  ZNF700  ZNF675  ZNF695  ZNF84  ZNF770  ZKSCAN8  DCLRE1A  ZNF616  ZNF611  ZNF891  ZNF736  ZNF718  ZNF260  ZNF850  ZNF224  RECQL  BRCA1  MRE11  RC3H2  CCAR1  RAD18  KDM5A  MCM6  PDS5B  RRN3  RAD54L  CLSPN  MSH2  NEIL3  TRIM24  CCNT1  TOP2A  RFC3  CDK5RAP2  DNA2  BRCA2  MBNL2  MMS22L  GABPA  SMG1  CUL4B  MORC3  FAM111A  EXO1  NRIP1  ARID2  LIN54  BLM  TOPORS  DDX3X  PRKDC  POLR3B  PIAS1  ZZZ3  POLR2B  POLQ  ZFR  GPBP1  TP53BP1  HLTF  ZNF638  TOP2B  THOC1  PUM3  NCOA1  ORC1  KIF4A  BTAF1  POLE2  DICER1  PNN  SMCHD1  POLI  SMC4  XRN1  KAT2B  TTF2  MND1  HJURP  BAZ2B  NUP153  DEK  AKAP9  MIS18BP1  CEP350  SETDB2  BRIP1  SMC2  DSCC1  NUSAP1  LRPPRC  BARD1  NCOA2  FANCI  NCOR1  ZNF462  MKI67  AHCTF1  KAT6B  PAXBP1  SON  MYSM1  TOPBP1  PBRM1  RAD21  ZMAT1  TET2  ZNF507  PRDM10  SLFN11  PHC3  DENND4A  MSL2  ATR  PARPBP  ERCC6L  SYCP2  RAD54B  WDHD1  ZBED6  KAT7  SUV39H2  PARP4  KIF2C"
3.33782975624525e-21,83,684,3.523399113681,"GO:0140657 Atp-dependent activity ","https://amigo.geneontology.org/amigo/term/GO:0140657"," RECQL  UBA6  RFC1  MTREX  ATP11B  ATP2B4  ATP2B1  HLTF  MCM6  RAD54L  KIF16B  KIF4A  ATP11C  KATNAL1  DHX15  TTF2  KIF14  ATAD2B  ATP8A1  MCM8  PEX1  FIGNL1  RFC3  ATP13A3  BRIP1  KIF23  KIF11  KIF20B  KIF21A  KIF2C  ABCA12  CHD1  ATAD2  SMARCAD1  DHX57  KIF15  ATP7A  KIF5B  DHX36  ATAD5  FIGN  KIF24  ERCC6L  MYO6  RAD54B  BLM  DDX3X  AQR  POLQ  TOP2B  HSP90AA1  ATRX  MSH2  BTAF1  MSH6  TOP2A  DSCC1  DNA2  ZGRF1  CENPE  SLFN11  TRIP13  SMC1A  ORC1  CDC6  DICER1  SMCHD1  SMC3  MDN1  MSH3  SMC4  HELLS  HSPH1  SMC2  DDX46  AK9  MORC3  SMC6  HSPA4L  HSP90B1  ATF7IP  XRCC2  MRE11"
7.04232506710094e-20,138,1673,2.39509638654014,"GO:0005524 Atp binding ","https://amigo.geneontology.org/amigo/term/GO:0005524"," HSP90AA1  RRM1  UHMK1  MTREX  WNK1  N4BP2  MSH2  MSH6  IDE  PRKACB  SNRK  ATP7A  HASPIN  BLM  ENPP1  RECQL  BAZ1B  AQR  UBA6  RFC1  POLQ  ATP11B  ATP2B4  PKN2  SLK  ROCK1  MAPK6  ATP2B1  TRIP13  HLTF  PALS1  SMC1A  MCM6  TOP2B  ATRX  ORC1  RAD54L  KIF16B  KIF4A  TRPM7  CDC6  BTAF1  JAK2  CDC7  DICER1  SMCHD1  ATP11C  DGKH  KATNAL1  MET  SMC3  DHX15  HIPK3  MDN1  TTK  MSH3  SMC4  PIKFYVE  TTF2  DARS2  NEK2  KIF14  CNTRL  ATAD2B  HELLS  MASTL  HSPH1  APAF1  PIK3CA  CIT  ATP8A1  MCM8  PEX1  TOP2A  PRKAA1  FIGNL1  ATP13A3  ROCK2  EPHA7  SCYL2  BRIP1  EPRS1  SMC2  KIF23  TTLL7  KIF11  KIF20B  DNA2  ZGRF1  CENPE  KIF21A  PLK4  KIF2C  ABCA12  DDX46  MKI67  CHEK1  NEK7  PAN3  CHD1  AK9  CDK19  ATAD2  BUB1B  SMG1  TAOK1  SMC6  SMARCAD1  DHX57  KIF15  HSPA4L  MELK  BMS1  HSP90B1  CDK12  RSKR  PBK  BUB1  MAP3K2  CDK1  KIF5B  KIAA0232  SLFN11  DHX36  ATR  UBE2C  ATAD5  AURKB  FIGN  KIF24  ERCC6L  IARS1  PIK3R4  XRCC2  MYO6  RAD54B  DDX3X  PRKDC"
2.3001835371779e-19,139,1718,2.34926219989856,"GO:0032559 Adenyl ribonucleotide binding ","https://amigo.geneontology.org/amigo/term/GO:0032559"," HSP90AA1  RRM1  UHMK1  ENPP1  MTREX  WNK1  N4BP2  MSH2  RAPGEF2  MSH6  IDE  PRKACB  SNRK  ATP7A  HASPIN  BLM  RECQL  BAZ1B  AQR  UBA6  RFC1  POLQ  ATP11B  ATP2B4  PKN2  SLK  ROCK1  MAPK6  ATP2B1  TRIP13  HLTF  PALS1  SMC1A  MCM6  TOP2B  ATRX  ORC1  RAD54L  KIF16B  KIF4A  TRPM7  CDC6  BTAF1  JAK2  CDC7  DICER1  SMCHD1  ATP11C  DGKH  KATNAL1  MET  SMC3  DHX15  HIPK3  MDN1  TTK  MSH3  SMC4  PIKFYVE  TTF2  DARS2  NEK2  KIF14  CNTRL  ATAD2B  HELLS  MASTL  HSPH1  APAF1  PIK3CA  CIT  ATP8A1  MCM8  PEX1  TOP2A  PRKAA1  FIGNL1  ATP13A3  ROCK2  EPHA7  SCYL2  BRIP1  EPRS1  SMC2  KIF23  TTLL7  KIF11  KIF20B  DNA2  ZGRF1  CENPE  KIF21A  PLK4  KIF2C  ABCA12  DDX46  MKI67  CHEK1  NEK7  PAN3  CHD1  AK9  CDK19  ATAD2  BUB1B  SMG1  TAOK1  SMC6  SMARCAD1  DHX57  KIF15  HSPA4L  MELK  BMS1  HSP90B1  CDK12  RSKR  PBK  BUB1  MAP3K2  CDK1  KIF5B  KIAA0232  SLFN11  DHX36  ATR  UBE2C  ATAD5  AURKB  FIGN  KIF24  ERCC6L  IARS1  PIK3R4  XRCC2  MYO6  RAD54B  DDX3X  PRKDC"
2.01268217318721e-17,46,266,5.02129856476397,"GO:0140097 Catalytic activity acting on dna ","https://amigo.geneontology.org/amigo/term/GO:0140097"," RECQL  MRE11  RFC1  POLQ  HLTF  MCM6  POLD3  RAD54L  DICER1  POLI  POLA1  NEIL3  TTF2  MCM8  RFC3  BRIP1  DNA2  DCLRE1C  CHD1  EME1  SMARCAD1  EXO1  DHX36  ERCC4  ATAD5  GEN1  ERCC6L  RAD54B  BLM  DCLRE1A  TOP2B  N4BP2  ATRX  MSH2  BTAF1  MSH6  TOP2A  DSCC1  ZGRF1  DDX3X  MSH3  HELLS  NIPBL  XRCC2  RBBP8  POLE2"
2.17406005158692e-17,57,406,4.0765115034778,"GO:0015631 Tubulin binding ","https://amigo.geneontology.org/amigo/term/GO:0015631"," CLASP1  GTSE1  DNM1L  KIF16B  ALMS1  KIF14  CAMSAP2  IFT81  DLGAP5  MTUS1  CLIP1  HOOK1  CDK5RAP2  NUSAP1  KIF23  TTLL7  KIF20B  CENPE  KIF21A  NEDD1  KIF2C  EML4  CENPJ  SKA1  CLASP2  KIF15  CEP295  KIF5B  CKAP5  CEP57L1  OPA1  PRC1  TPR  SPAG5  SMC3  MACF1  KNL1  LRPPRC  GAS2L3  TAOK1  RACGAP1  SKA3  CEP135  DDX3X  OFD1  KIF4A  KATNAL1  MDM1  CENPF  HSPH1  CEP350  KIF11  KIF24  NDC80  NUF2  BRCA2  BRCA1"
2.24074536403136e-17,139,1817,2.22126167277145,"GO:0030554 Adenyl nucleotide binding ","https://amigo.geneontology.org/amigo/term/GO:0030554"," HSP90AA1  RRM1  UHMK1  ENPP1  MTREX  WNK1  N4BP2  MSH2  RAPGEF2  MSH6  IDE  PRKACB  SNRK  ATP7A  HASPIN  BLM  RECQL  BAZ1B  AQR  UBA6  RFC1  POLQ  ATP11B  ATP2B4  PKN2  SLK  ROCK1  MAPK6  ATP2B1  TRIP13  HLTF  PALS1  SMC1A  MCM6  TOP2B  ATRX  ORC1  RAD54L  KIF16B  KIF4A  TRPM7  CDC6  BTAF1  JAK2  CDC7  DICER1  SMCHD1  ATP11C  DGKH  KATNAL1  MET  SMC3  DHX15  HIPK3  MDN1  TTK  MSH3  SMC4  PIKFYVE  TTF2  DARS2  NEK2  KIF14  CNTRL  ATAD2B  HELLS  MASTL  HSPH1  APAF1  PIK3CA  CIT  ATP8A1  MCM8  PEX1  TOP2A  PRKAA1  FIGNL1  ATP13A3  ROCK2  EPHA7  SCYL2  BRIP1  EPRS1  SMC2  KIF23  TTLL7  KIF11  KIF20B  DNA2  ZGRF1  CENPE  KIF21A  PLK4  KIF2C  ABCA12  DDX46  MKI67  CHEK1  NEK7  PAN3  CHD1  AK9  CDK19  ATAD2  BUB1B  SMG1  TAOK1  SMC6  SMARCAD1  DHX57  KIF15  HSPA4L  MELK  BMS1  HSP90B1  CDK12  RSKR  PBK  BUB1  MAP3K2  CDK1  KIF5B  KIAA0232  SLFN11  DHX36  ATR  UBE2C  ATAD5  AURKB  FIGN  KIF24  ERCC6L  IARS1  PIK3R4  XRCC2  MYO6  RAD54B  DDX3X  PRKDC"
6.20257578902533e-17,62,487,3.69660101464545,"GO:0016887 Atp hydrolysis activity ","https://amigo.geneontology.org/amigo/term/GO:0016887"," KIF16B  KATNAL1  KIF14  ATAD2B  PEX1  FIGNL1  KIF23  KIF20B  KIF21A  KIF2C  CHD1  ATAD2  KIF15  KIF5B  FIGN  ATP2B1  HSP90AA1  SLFN11  DDX3X  RECQL  AQR  RFC1  MTREX  POLQ  ATP11B  ATP2B4  TRIP13  SMC1A  MCM6  ATRX  ORC1  RAD54L  CDC6  MSH2  BTAF1  SMCHD1  ATP11C  SMC3  DHX15  MDN1  SMC4  ATP8A1  MCM8  RFC3  ATP13A3  BRIP1  SMC2  DNA2  ABCA12  DDX46  AK9  MORC3  SMC6  SMARCAD1  DHX57  ATP7A  HSP90B1  ATF7IP  DHX36  ATAD5  ERCC6L  BLM"
3.96442571741355e-16,159,2296,2.01078247138812,"GO:0019899 Enzyme binding ","https://amigo.geneontology.org/amigo/term/GO:0019899"," HIF1A  ANKIB1  IBTK  RB1CC1  RRN3  CEP192  CUL2  TCERG1  STRN  BORA  MARCHF7  FANCI  CTTNBP2NL  SPOPL  FANCD2  GOLGA4  WWC2  CUL4B  WDCP  GAPVD1  FRS2  LEO1  KNTC1  MIER1  LRBA  BRCA1  TPR  ATP2B4  WNK1  NCKAP1  PKN2  HLTF  HACE1  DNM1L  JAK2  PARP4  SPG11  SHOC2  DOCK7  SGO1  XPO4  ITGAV  RB1  PRKACB  C9orf72  RAPGEF6  HSP90B1  TRAF6  CHM  DZIP3  PIAS1  PER3  PPP1R12A  MCM10  ROCK1  MAPK6  DNAJC10  HSP90AA1  XPO1  TNPO1  IPO11  TPX2  CBX5  DAAM1  TAX1BP1  ANKMY2  EIF3A  EXOC2  PRLR  KAT2B  ECT2  CASP8AP2  APAF1  CSE1L  CCNT1  SYNE1  SBF2  ROCK2  IQGAP1  CCNA2  SYTL5  ADD3  EPS8  UHMK1  PAXBP1  ATP7A  CDK12  MALT1  DHX36  CCNE2  NRIP1  RANBP17  IPO7  SPDYE18  DENND1B  PLIN5  PRKDC  PJA2  CDC27  UFL1  SPDL1  NEDD4  EXOC5  RAD18  KIZ  WDR76  CDC6  POLA1  DGKH  MET  FBXO5  MSH3  RAB3GAP1  ATF2  MSH6  BLZF1  NEK2  KIF14  CIT  TUBA1B  MCM8  POT1  TOP2A  AP3B1  EPRS1  CDK5RAP2  LRPPRC  KIF11  BRCA2  NCOR1  CLTC  TRPC1  PIK3R1  RASA1  THRB  CENPJ  PTPRK  RANBP2  USP25  RNF20  CDC25C  RACGAP1  SMC6  CLASP2  CDC25A  NIPBL  AP1G1  MAP3K2  UBE2C  AURKB  KPNA2  IARS1  ZNF675  TOPORS  PRC1  ERC1  MASTL  GCC2  BARD1"
2.44027198042925e-15,45,291,4.49013475423761,"GO:0008017 Microtubule binding ","https://amigo.geneontology.org/amigo/term/GO:0008017"," CLASP1  GTSE1  DNM1L  KIF16B  ALMS1  KIF14  CAMSAP2  DLGAP5  MTUS1  CLIP1  HOOK1  CDK5RAP2  NUSAP1  KIF23  KIF20B  CENPE  KIF21A  KIF2C  EML4  SKA1  CLASP2  KIF15  CEP295  KIF5B  CKAP5  CEP57L1  OPA1  PRC1  SPAG5  MACF1  KNL1  GAS2L3  RACGAP1  SKA3  CEP135  KIF4A  KATNAL1  MDM1  CENPF  CEP350  KIF11  KIF24  NDC80  NUF2  LRPPRC"
2.52145335617638e-15,145,2052,2.05177860033632,"GO:0035639 Purine ribonucleoside triphosphate binding ","https://amigo.geneontology.org/amigo/term/GO:0035639"," HSP90AA1  TUBA1B  BMS1  RRM1  UHMK1  MTREX  WNK1  N4BP2  MSH2  MSH6  IDE  PRKACB  EIF5B  SNRK  ATP7A  HASPIN  BLM  ENPP1  RECQL  BAZ1B  AQR  UBA6  RFC1  POLQ  ATP11B  ATP2B4  PKN2  SLK  ROCK1  MAPK6  ATP2B1  TRIP13  HLTF  PALS1  SMC1A  MCM6  TOP2B  ATRX  MTIF2  ORC1  RAD54L  DNM1L  KIF16B  KIF4A  TRPM7  CDC6  BTAF1  JAK2  CDC7  DICER1  SMCHD1  ATP11C  DGKH  KATNAL1  MET  SMC3  DHX15  HIPK3  MDN1  RAB23  TTK  MSH3  SMC4  PIKFYVE  TTF2  DARS2  NEK2  KIF14  CNTRL  ATAD2B  HELLS  MASTL  HSPH1  APAF1  PIK3CA  CIT  ATP8A1  MCM8  PEX1  TOP2A  PRKAA1  FIGNL1  ATP13A3  ROCK2  EPHA7  SCYL2  BRIP1  EPRS1  SMC2  KIF23  TTLL7  KIF11  KIF20B  DNA2  ZGRF1  CENPE  KIF21A  PLK4  KIF2C  ABCA12  DDX46  MKI67  CHEK1  NEK7  PAN3  CHD1  AK9  CDK19  ATAD2  BUB1B  SMG1  TAOK1  SMC6  SMARCAD1  DHX57  KIF15  HSPA4L  MELK  HSP90B1  CDK12  RSKR  PBK  BUB1  MAP3K2  CDK1  KIF5B  KIAA0232  SLFN11  DHX36  ATR  UBE2C  ATAD5  AURKB  FIGN  KIF24  ERCC6L  IARS1  PIK3R4  XRCC2  MYO6  RAD54B  OPA1  DDX3X  PRKDC  RANBP17"
3.4037655516529e-15,31,137,6.57023610997202,"GO:0008094 Atp-dependent activity acting on dna ","https://amigo.geneontology.org/amigo/term/GO:0008094"," RECQL  RFC1  HLTF  MCM6  RAD54L  TTF2  MCM8  RFC3  BRIP1  CHD1  SMARCAD1  DHX36  ATAD5  ERCC6L  RAD54B  BLM  POLQ  TOP2B  ATRX  MSH2  BTAF1  MSH6  TOP2A  DSCC1  DNA2  ZGRF1  DDX3X  MSH3  HELLS  XRCC2  MRE11"
6.17686087007607e-15,147,2119,2.01430962594539,"GO:0032553 Ribonucleotide binding ","https://amigo.geneontology.org/amigo/term/GO:0032553"," HSP90AA1  TUBA1B  BMS1  RRM1  UHMK1  ENPP1  MTREX  WNK1  N4BP2  MSH2  RAPGEF2  MSH6  IDE  PRKACB  EIF5B  SNRK  ATP7A  HASPIN  BLM  PRIM1  RECQL  BAZ1B  AQR  UBA6  RFC1  POLQ  ATP11B  ATP2B4  PKN2  SLK  ROCK1  MAPK6  ATP2B1  TRIP13  HLTF  PALS1  SMC1A  MCM6  TOP2B  ATRX  MTIF2  ORC1  RAD54L  DNM1L  KIF16B  KIF4A  TRPM7  CDC6  BTAF1  JAK2  CDC7  DICER1  SMCHD1  ATP11C  DGKH  KATNAL1  MET  SMC3  DHX15  HIPK3  MDN1  RAB23  TTK  MSH3  SMC4  PIKFYVE  TTF2  DARS2  NEK2  KIF14  CNTRL  ATAD2B  HELLS  MASTL  HSPH1  APAF1  PIK3CA  CIT  ATP8A1  MCM8  PEX1  TOP2A  PRKAA1  FIGNL1  ATP13A3  ROCK2  EPHA7  SCYL2  BRIP1  EPRS1  SMC2  KIF23  TTLL7  KIF11  KIF20B  DNA2  ZGRF1  CENPE  KIF21A  PLK4  KIF2C  ABCA12  DDX46  MKI67  CHEK1  NEK7  PAN3  CHD1  AK9  CDK19  ATAD2  BUB1B  SMG1  TAOK1  SMC6  SMARCAD1  DHX57  KIF15  HSPA4L  MELK  HSP90B1  CDK12  RSKR  PBK  BUB1  MAP3K2  CDK1  KIF5B  KIAA0232  SLFN11  DHX36  ATR  UBE2C  ATAD5  AURKB  FIGN  KIF24  ERCC6L  IARS1  PIK3R4  XRCC2  MYO6  RAD54B  OPA1  DDX3X  PRKDC  RANBP17"
6.77842117118896e-15,146,2102,2.01678681857003,"GO:0032555 Purine ribonucleotide binding ","https://amigo.geneontology.org/amigo/term/GO:0032555"," HSP90AA1  TUBA1B  BMS1  RRM1  UHMK1  ENPP1  MTREX  WNK1  N4BP2  MSH2  RAPGEF2  MSH6  IDE  PRKACB  EIF5B  SNRK  ATP7A  HASPIN  BLM  RECQL  BAZ1B  AQR  UBA6  RFC1  POLQ  ATP11B  ATP2B4  PKN2  SLK  ROCK1  MAPK6  ATP2B1  TRIP13  HLTF  PALS1  SMC1A  MCM6  TOP2B  ATRX  MTIF2  ORC1  RAD54L  DNM1L  KIF16B  KIF4A  TRPM7  CDC6  BTAF1  JAK2  CDC7  DICER1  SMCHD1  ATP11C  DGKH  KATNAL1  MET  SMC3  DHX15  HIPK3  MDN1  RAB23  TTK  MSH3  SMC4  PIKFYVE  TTF2  DARS2  NEK2  KIF14  CNTRL  ATAD2B  HELLS  MASTL  HSPH1  APAF1  PIK3CA  CIT  ATP8A1  MCM8  PEX1  TOP2A  PRKAA1  FIGNL1  ATP13A3  ROCK2  EPHA7  SCYL2  BRIP1  EPRS1  SMC2  KIF23  TTLL7  KIF11  KIF20B  DNA2  ZGRF1  CENPE  KIF21A  PLK4  KIF2C  ABCA12  DDX46  MKI67  CHEK1  NEK7  PAN3  CHD1  AK9  CDK19  ATAD2  BUB1B  SMG1  TAOK1  SMC6  SMARCAD1  DHX57  KIF15  HSPA4L  MELK  HSP90B1  CDK12  RSKR  PBK  BUB1  MAP3K2  CDK1  KIF5B  KIAA0232  SLFN11  DHX36  ATR  UBE2C  ATAD5  AURKB  FIGN  KIF24  ERCC6L  IARS1  PIK3R4  XRCC2  MYO6  RAD54B  OPA1  DDX3X  PRKDC  RANBP17"
3.18436080333514e-13,146,2202,1.92519795305822,"GO:0017076 Purine nucleotide binding ","https://amigo.geneontology.org/amigo/term/GO:0017076"," HSP90AA1  TUBA1B  BMS1  RRM1  UHMK1  ENPP1  MTREX  WNK1  N4BP2  MSH2  RAPGEF2  MSH6  IDE  PRKACB  EIF5B  SNRK  ATP7A  HASPIN  BLM  RECQL  BAZ1B  AQR  UBA6  RFC1  POLQ  ATP11B  ATP2B4  PKN2  SLK  ROCK1  MAPK6  ATP2B1  TRIP13  HLTF  PALS1  SMC1A  MCM6  TOP2B  ATRX  MTIF2  ORC1  RAD54L  DNM1L  KIF16B  KIF4A  TRPM7  CDC6  BTAF1  JAK2  CDC7  DICER1  SMCHD1  ATP11C  DGKH  KATNAL1  MET  SMC3  DHX15  HIPK3  MDN1  RAB23  TTK  MSH3  SMC4  PIKFYVE  TTF2  DARS2  NEK2  KIF14  CNTRL  ATAD2B  HELLS  MASTL  HSPH1  APAF1  PIK3CA  CIT  ATP8A1  MCM8  PEX1  TOP2A  PRKAA1  FIGNL1  ATP13A3  ROCK2  EPHA7  SCYL2  BRIP1  EPRS1  SMC2  KIF23  TTLL7  KIF11  KIF20B  DNA2  ZGRF1  CENPE  KIF21A  PLK4  KIF2C  ABCA12  DDX46  MKI67  CHEK1  NEK7  PAN3  CHD1  AK9  CDK19  ATAD2  BUB1B  SMG1  TAOK1  SMC6  SMARCAD1  DHX57  KIF15  HSPA4L  MELK  HSP90B1  CDK12  RSKR  PBK  BUB1  MAP3K2  CDK1  KIF5B  KIAA0232  SLFN11  DHX36  ATR  UBE2C  ATAD5  AURKB  FIGN  KIF24  ERCC6L  IARS1  PIK3R4  XRCC2  MYO6  RAD54B  OPA1  DDX3X  PRKDC  RANBP17"
7.61482227801401e-12,150,2380,1.83001290403802,"GO:0000166 Nucleotide binding ","https://amigo.geneontology.org/amigo/term/GO:0000166"," HSP90AA1  TUBA1B  BMS1  RRM1  UHMK1  ENPP1  MTREX  WNK1  N4BP2  MSH2  POLA1  RAPGEF2  MSH6  IDE  PRKACB  EIF5B  SNRK  ATP7A  ZBTB33  HASPIN  BLM  PRIM1  RECQL  BAZ1B  AQR  UBA6  RFC1  POLQ  ATP11B  ATP2B4  PKN2  SLK  ROCK1  MAPK6  ATP2B1  TRIP13  HLTF  PALS1  SMC1A  MCM6  TOP2B  ATRX  MTIF2  ORC1  RAD54L  DNM1L  KIF16B  KIF4A  TRPM7  CDC6  BTAF1  JAK2  CDC7  DICER1  SMCHD1  ATP11C  DGKH  KATNAL1  MET  SMC3  DHX15  HIPK3  MDN1  RAB23  TTK  MSH3  SMC4  PIKFYVE  TTF2  DARS2  NEK2  KIF14  CNTRL  ATAD2B  HELLS  MASTL  HSPH1  APAF1  PIK3CA  CIT  ATP8A1  MCM8  PEX1  TOP2A  PRKAA1  FIGNL1  ATP13A3  ROCK2  EPHA7  SCYL2  BRIP1  EPRS1  SMC2  KIF23  TTLL7  KIF11  KIF20B  DNA2  ZGRF1  CENPE  KIF21A  PLK4  KIF2C  ABCA12  DDX46  MKI67  CHEK1  NEK7  PAN3  CHD1  AK9  CDK19  ATAD2  BUB1B  SMG1  TAOK1  SMC6  SMARCAD1  DHX57  KIF15  HSPA4L  MELK  HSP90B1  CDK12  RSKR  PBK  BUB1  MAP3K2  CDK1  KIF5B  KIAA0232  SLFN11  DHX36  ATR  UBE2C  ATAD5  RMI1  AURKB  FIGN  KIF24  ERCC6L  IARS1  PIK3R4  XRCC2  MYO6  RAD54B  OPA1  DDX3X  PRKDC  RANBP17"
1.1759644914824e-11,85,1050,2.35054990785328,"GO:0008092 Cytoskeletal protein binding ","https://amigo.geneontology.org/amigo/term/GO:0008092"," CLASP1  GTSE1  DNM1L  KIF16B  TRAK2  ALMS1  KIF14  CAMSAP2  PLS1  IFT81  DLGAP5  MTUS1  CLIP1  HOOK1  CDK5RAP2  NUSAP1  KIF23  TTLL7  KIF20B  CENPE  KIF21A  NEDD1  GAS2L3  IQGAP1  SSH2  KIF2C  EML4  ADD3  EPS8  CENPJ  PLEKHH2  SKA1  CLASP2  KIF15  CEP295  KIF5B  CKAP5  CEP57L1  MYO6  OPA1  PRC1  ANLN  TPR  SPAG5  NRCAM  SMC3  MACF1  SYNE1  KNL1  LRPPRC  ITPRID2  TAOK1  RACGAP1  SKA3  CEP135  SLC8A1  DDX3X  OFD1  EPB41L2  HSP90AA1  COBLL1  PTPN4  KIF4A  TRPM7  DAAM1  KATNAL1  MDM1  CENPF  CTNNAL1  HSPH1  KTN1  CEP350  KIF11  KIF24  CD2AP  DCP1A  NDC80  NUF2  ARFGEF1  BRCA2  AP1G1  BRCA1  ROCK1  PRKAA1  ROCK2"
