"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.9614297185613e-72,206,1394,4.29085952458996,"GO:0022402 Cell cycle process ","https://amigo.geneontology.org/amigo/term/GO:0022402"," CDC27  DBF4  NCAPD2  ANLN  BRCA1  MRE11  SPDL1  TPR  USP28  TP53BP1  ROCK1  TRIP13  SMC1A  CLASP1  MCM6  TOP2B  PCM1  RBL1  NDC80  ORC1  RAD54L  KIZ  KIF4A  WDR76  CLSPN  CDC45  CDC6  CEP192  POLA1  STAG2  CENPI  CCP110  OIP5  NBN  SMC3  NCAPG  FBXO5  TTK  ECT2  ALMS1  NEK2  CENPF  NCAPH  MND1  CENPK  STIL  DLGAP5  TOP2A  ROCK2  BORA  BRIP1  SMC2  CDK5RAP2  DSCC1  NUSAP1  KIF23  KNL1  KIF11  CEP55  RB1  TICRR  IQGAP1  NUF2  DTL  FANCD2  CENPC  CCNA2  NCAPG2  MKI67  NCAPD3  CENPJ  SPC25  SKA1  EME1  FBXO43  SASS6  BUB1B  CCNB2  CDC25C  RACGAP1  CLASP2  SPICE1  TOPBP1  CDC25A  NIPBL  RAD21  SKA3  CEP295  C2CD3  CEP120  BUB1  PDCD6IP  CDK1  ESCO2  MTBP  ZWILCH  CEP135  ATR  UBE2C  CKAP5  CCNE2  ERCC4  RTTN  RMI1  AURKB  CEP63  KNTC1  CDCA2  SYCP2  RAD54B  PRC1  BAZ1B  UFL1  WNK1  TPX2  RAD51AP1  SMC4  KAT2B  SGO1  NES  CENPE  PLK4  CHEK1  E2F7  RRM1  RRM2  BLM  PIAS1  NDC1  ASPM  SPAG5  XPO1  PDS5B  ATRX  MSH2  RBBP8  MDM1  MASTL  PDS5A  CIT  USP9X  E2F8  FIGNL1  KIF20B  DNA2  BRCA2  KIF2C  DSN1  EPS8  USP16  CUL4B  WASHC5  CENPN  MARF1  ATAD5  DDX3X  CKAP2  CENPQ  PPP1R12A  ATP2B4  INTS13  TAF2  PKN2  RAD18  CDC5L  CDC7  ATF2  SSX2IP  KIF14  HJURP  CLOCK  SETDB2  NCOR1  CLTC  INTS7  EML4  AHCTF1  SON  TAOK1  SMC6  SMARCAD1  SLFN11  HASPIN  GEN1  PIK3R4  PRPF40A  XRCC2  PRKDC  MSH6  RASA1  PHIP  KIF15  MYBL1  EXOC5  GTSE1  EXOC1  EXOC2  EXOC6  BARD1  EXOC6B  CENPU  PBRM1  ARID2  CUL2  NEK7  MELK"
9.55573183868064e-71,233,1822,3.71319193488929,"GO:0007049 Cell cycle ","https://amigo.geneontology.org/amigo/term/GO:0007049"," CDC27  DBF4  NCAPD2  ANLN  BRCA1  MRE11  SPDL1  TPR  USP28  INTS13  TP53BP1  ROCK1  TRIP13  SMC1A  CLASP1  MCM6  TOP2B  PCM1  RBL1  NDC80  ORC1  RAD54L  KIZ  KIF4A  WDR76  CLSPN  CDC45  CDC6  CEP192  POLA1  STAG2  CENPI  CCP110  OIP5  NBN  SMC3  NCAPG  BIRC2  FBXO5  TTK  ECT2  ALMS1  NEK2  CENPF  MYB  NCAPH  MND1  CENPK  TUBA1B  STIL  DLGAP5  TOP2A  ROCK2  BORA  BRIP1  SMC2  CDK5RAP2  DSCC1  NUSAP1  KIF23  KNL1  KIF11  CEP55  CENPE  NEDD1  RB1  TICRR  IQGAP1  CLTC  NUF2  DTL  FANCD2  CENPC  CCNA2  NCAPG2  MKI67  NCAPD3  CENPJ  SPC25  SKA1  EME1  FBXO43  SASS6  BUB1B  CCNB2  CDC25C  RACGAP1  BRINP3  CLASP2  SPICE1  TOPBP1  CDC25A  NIPBL  RAD21  SKA3  TSC1  CEP295  C2CD3  CEP120  BUB1  PDCD6IP  CDK1  ESCO2  MTBP  ZWILCH  CEP135  ATR  UBE2C  CKAP5  CCNE2  ERCC4  RTTN  HASPIN  RMI1  AURKB  CEP63  LIN9  KNTC1  CDCA2  MYBL1  SYCP2  RAD54B  WDHD1  PRC1  BAZ1B  UFL1  WNK1  PRR11  TPX2  RAD51AP1  SMC4  KAT2B  SGO1  NES  KAT7  PLK4  CHEK1  NEK7  PTPRK  E2F7  RRM1  RRM2  BLM  E2F2  PIAS1  ZZZ3  NDC1  ASPM  SPAG5  XPO1  PDS5B  ATRX  MSH2  TDRD1  RBBP8  MDM1  MASTL  PDS5A  CIT  USP9X  E2F8  FIGNL1  KIF20B  DNA2  BRCA2  KIF2C  DSN1  EPS8  CDK19  USP16  CUL4B  SON  WASHC5  DDIAS  CENPN  MARF1  CDK12  EXO1  ATAD5  SPDYE18  DDX3X  CKAP2  CENPQ  PPP1R12A  ATP2B4  TAF2  PKN2  LRP6  RAD18  CDC5L  CDC7  ATF2  SSX2IP  KIF14  HJURP  CLOCK  EPC2  SETDB2  NCOR1  INTS7  EML4  UHMK1  AHCTF1  TAOK1  SMC6  SMARCAD1  SLFN11  GEN1  PIK3R4  PRPF40A  XRCC2  PRKDC  MSH6  RASA1  PHIP  KIF15  EXOC5  GTSE1  EXOC1  EXOC2  EXOC6  BARD1  EXOC6B  CENPU  PBRM1  PBK  ARID2  CUL2  EIF4G2  CCNT1  CLIP1  MELK  IPO7"
7.01310795886081e-57,155,979,4.59715192577205,"GO:0000278 Mitotic cell cycle ","https://amigo.geneontology.org/amigo/term/GO:0000278"," CDC27  NCAPD2  ANLN  BRCA1  MRE11  SPDL1  TPR  INTS13  ROCK1  CLASP1  MCM6  RBL1  NDC80  ORC1  KIF4A  CLSPN  CDC45  CDC6  CEP192  POLA1  CENPI  NBN  NCAPG  FBXO5  TTK  ECT2  CENPF  MYB  NCAPH  CENPK  TUBA1B  STIL  DLGAP5  ROCK2  BORA  SMC2  CDK5RAP2  NUSAP1  KIF23  KIF11  CEP55  CENPE  NEDD1  RB1  TICRR  IQGAP1  CLTC  NUF2  DTL  FANCD2  CENPC  CCNA2  NCAPG2  MKI67  NCAPD3  SKA1  EME1  FBXO43  BUB1B  CCNB2  CDC25C  RACGAP1  BRINP3  CLASP2  SPICE1  TOPBP1  CDC25A  NIPBL  SKA3  BUB1  PDCD6IP  CDK1  MTBP  ZWILCH  UBE2C  CKAP5  CCNE2  HASPIN  AURKB  KNTC1  CDCA2  MYBL1  WDHD1  PRC1  BAZ1B  WNK1  TPX2  SMC4  KAT2B  NES  CHEK1  NEK7  CENPJ  SASS6  E2F7  RRM1  RRM2  ATR  BLM  PIAS1  MSH2  RBBP8  NEK2  CIT  E2F8  KIF20B  DNA2  BRCA2  EPS8  USP16  CUL4B  RAD21  ATAD5  CKAP2  PPP1R12A  TAF2  PKN2  TRIP13  SMC1A  SPAG5  CDC7  STAG2  SMC3  ATF2  KIF14  MASTL  SETDB2  KNL1  KIF2C  EML4  SPC25  SON  TAOK1  SLFN11  GEN1  XRCC2  DDX3X  PRKDC  RASA1  PHIP  KIF15  EXOC5  GTSE1  EXOC1  EXOC2  EXOC6  BARD1  EXOC6B  PBRM1  PBK  ARID2  DBF4  CUL2  CLIP1  MELK"
5.15212072547289e-56,141,819,4.99890704385087,"GO:1903047 Mitotic cell cycle process ","https://amigo.geneontology.org/amigo/term/GO:1903047"," CDC27  NCAPD2  ANLN  BRCA1  MRE11  SPDL1  TPR  ROCK1  CLASP1  MCM6  RBL1  NDC80  ORC1  KIF4A  CLSPN  CDC45  CDC6  CEP192  POLA1  CENPI  NBN  NCAPG  FBXO5  TTK  ECT2  CENPF  NCAPH  CENPK  STIL  DLGAP5  ROCK2  BORA  SMC2  CDK5RAP2  NUSAP1  KIF23  KIF11  CEP55  RB1  TICRR  IQGAP1  NUF2  DTL  FANCD2  CENPC  CCNA2  NCAPG2  MKI67  NCAPD3  EME1  FBXO43  BUB1B  CCNB2  CDC25C  RACGAP1  CLASP2  SPICE1  TOPBP1  CDC25A  NIPBL  BUB1  PDCD6IP  CDK1  MTBP  ZWILCH  UBE2C  CKAP5  CCNE2  AURKB  KNTC1  CDCA2  PRC1  BAZ1B  WNK1  TPX2  SMC4  KAT2B  NES  CENPE  CHEK1  CENPJ  SKA1  SASS6  SKA3  E2F7  RRM1  RRM2  ATR  BLM  PIAS1  MSH2  RBBP8  NEK2  CIT  KIF20B  DNA2  EPS8  USP16  CUL4B  RAD21  ATAD5  CKAP2  INTS13  TAF2  TRIP13  SMC1A  SPAG5  CDC7  STAG2  SMC3  ATF2  KIF14  MASTL  KNL1  BRCA2  CLTC  KIF2C  EML4  SPC25  SON  TAOK1  SLFN11  HASPIN  GEN1  DDX3X  PRKDC  RASA1  PHIP  KIF15  EXOC5  GTSE1  EXOC1  EXOC2  EXOC6  BARD1  EXOC6B  PBRM1  ARID2  DBF4  CUL2  MELK"
3.68348544686028e-48,122,706,5.01758778863531,"GO:0051276 Chromosome organization ","https://amigo.geneontology.org/amigo/term/GO:0051276"," RECQL  CDC27  NCAPD2  MRE11  SPDL1  TPR  NUP133  SMC1A  CLASP1  MCM6  TOP2B  NDC80  CEP192  STAG2  CENPI  OIP5  NBN  SMC3  NCAPG  NUP107  TTK  NUP155  NCAPH  CENPK  HJURP  DLGAP5  POT1  TOP2A  SETDB2  SMC2  CDK5RAP2  DSCC1  NUSAP1  KIF23  KIF11  NUF2  FANCD2  CENPC  NCAPG2  NCAPD3  DCLRE1C  BUB1B  RACGAP1  CLASP2  SPICE1  NIPBL  RAD21  BUB1  ESCO2  ATF7IP  ZWILCH  ATR  UBE2C  KNTC1  BLM  PRC1  PRKDC  XRN1  BAZ1B  HSP90AA1  TPX2  CDC45  FBXO5  SMC4  KAT2B  MND1  MCM8  GINS2  BRIP1  CENPE  GINS4  SKA1  CIP2A  TOPBP1  SKA3  CDK1  DHX36  ERCC4  AURKB  POLQ  NDC1  TRIP13  PDS5B  ATRX  RAD54L  SMCHD1  NEK2  PDS5A  HAT1  RFC3  DNA2  ZGRF1  BRCA2  CENPN  CCNE2  RAD54B  DDX3X  SPAG5  KIF4A  CDC6  MSH2  MSH3  KIF14  SGO1  KNL1  RB1  KIF2C  EML4  NEK7  SMG1  SMC6  HASPIN  GEN1  KIF15  CENPF  SHLD2  SPC25  PBRM1  ARID2  SYCP2  RFC1  EXO1"
3.68348544686028e-48,121,694,5.0625083199315,"GO:0051301 Cell division ","https://amigo.geneontology.org/amigo/term/GO:0051301"," CDC27  ANLN  ROCK1  ECT2  ROCK2  NUSAP1  CEP55  IQGAP1  SKA1  RACGAP1  PDCD6IP  AURKB  ZZZ3  WNK1  CLASP1  PRC1  NCAPD2  SPDL1  TPR  INTS13  PKN2  ASPM  SMC1A  SPAG5  EPB41L2  NDC80  PDS5B  TPX2  CDC6  CDC7  RBBP8  STAG2  CCP110  OIP5  SMC3  NCAPG  CDCA3  FBXO5  SMC4  NEK2  CENPF  KIF14  CNTRL  HELLS  MASTL  NCAPH  PDS5A  CIT  USP9X  THOC2  E2F8  CCNT1  MIS18BP1  SGO1  TOP2A  BORA  SETDB2  BRIP1  SMC2  KIF23  KNL1  KIF11  KIF20B  CENPE  NEDD1  BRCA2  RB1  CLTC  KIF2C  NUF2  HMCN1  EML4  CENPC  CCNA2  NCAPG2  DSN1  NCAPD3  SPC25  AHCTF1  USP16  BUB1B  CCNB2  CDC25C  CLASP2  SPICE1  SNRK  CDC25A  RAD21  WASHC5  SKA3  E2F7  BUB1  CDK1  ZWILCH  UBE2C  CKAP5  CCNE2  FIGN  CEP63  KNTC1  CDCA2  ERCC6L  SYCP2  PRPF40A  CD2AP  DCLRE1A  CKAP2  KIF4A  DOCK7  SON  PIK3R4  BLM  KAT2B  RASA1  EXOC5  EXOC1  EXOC2  EXOC6  EXOC6B  CENPJ  TUBA1B"
7.86481716734856e-48,129,798,4.6938225714098,"GO:0010564 Regulation of cell cycle process ","https://amigo.geneontology.org/amigo/term/GO:0010564"," CDC27  DBF4  BRCA1  MRE11  TPR  USP28  TP53BP1  TRIP13  RBL1  ORC1  WDR76  CLSPN  CDC6  CCP110  NBN  FBXO5  TTK  ALMS1  CENPF  BORA  CDK5RAP2  RB1  TICRR  DTL  FANCD2  MKI67  EME1  FBXO43  BUB1B  CDC25C  SPICE1  TOPBP1  CDC25A  CEP295  CEP120  BUB1  CDK1  MTBP  ZWILCH  ATR  UBE2C  CCNE2  AURKB  KNTC1  CDCA2  BAZ1B  UFL1  WNK1  RAD51AP1  KAT2B  ECT2  STIL  NUSAP1  PLK4  CHEK1  CENPJ  SASS6  RACGAP1  E2F7  RRM1  RRM2  BLM  PRC1  SPDL1  SPAG5  XPO1  ATRX  TPX2  MSH2  NCAPG  MDM1  SMC4  NCAPH  E2F8  ROCK2  SMC2  KIF20B  BRCA2  NCAPG2  CUL4B  RAD21  ATAD5  ATP2B4  PKN2  RAD18  NDC80  CDC5L  CDC7  ATF2  NEK2  KIF14  CIT  CLOCK  KIF23  KNL1  KIF11  DNA2  CENPE  CLTC  KIF2C  INTS7  AHCTF1  SKA1  TAOK1  SMC6  SKA3  PDCD6IP  SLFN11  HASPIN  GEN1  PIK3R4  PRPF40A  DDX3X  PRKDC  NCAPD2  NCAPD3  PHIP  CEP63  GTSE1  RBBP8  DLGAP5  BRIP1  BARD1  NUF2  SPC25  PBRM1  ARID2  ANLN  CDC45"
7.72649516375108e-47,99,467,6.15542670163366,"GO:0007059 Chromosome segregation ","https://amigo.geneontology.org/amigo/term/GO:0007059"," CDC27  NCAPD2  SPDL1  TPR  CLASP1  TOP2B  NDC80  KIF4A  CEP192  CENPI  OIP5  NCAPG  TTK  NEK2  CENPF  NCAPH  CENPK  DLGAP5  TOP2A  SMC2  CDK5RAP2  NUSAP1  KIF23  KNL1  KIF11  NUF2  FANCD2  CENPC  NCAPG2  MKI67  NCAPD3  SPC25  SKA1  BUB1B  RACGAP1  CLASP2  SPICE1  SKA3  BUB1  ZWILCH  UBE2C  KNTC1  CDCA2  PRC1  BAZ1B  TPX2  CDC6  FBXO5  SMC4  KAT2B  MND1  SGO1  CENPE  CDK1  AURKB  MRE11  NDC1  ASPM  TRIP13  SPAG5  STAG2  USP9X  BRIP1  KIF2C  DSN1  CCNB2  NIPBL  RAD21  WASHC5  CENPN  ESCO2  CCNE2  DDX3X  BRCA1  CENPQ  RAD18  SMC1A  SMC3  ECT2  KIF14  HJURP  SETDB2  RB1  NCOR1  EML4  SMC6  SMARCAD1  HASPIN  GEN1  KIF15  CEP63  STIL  CENPU  CENPJ  SASS6  PBRM1  ARID2  SYCP2  NEK7"
2.76910756464738e-46,306,3920,2.26660169685852,"GO:0006996 Organelle organization ","https://amigo.geneontology.org/amigo/term/GO:0006996"," RECQL  CDC27  NCAPD2  ANLN  MRE11  RB1CC1  SPDL1  OFD1  TPR  NDC1  NCKAP1  ATG2B  ROCK1  NUP133  TRIP13  SMC1A  CLASP1  MCM6  TOP2B  PCM1  EPB41L2  NDC80  HACE1  RAD54L  DNM1L  KIZ  KIF4A  TDRD1  CEP192  STAG2  CENPI  KATNAL1  CCP110  OIP5  NBN  SMC3  NCAPG  NUP107  C2CD5  FBXO5  MDN1  RAB23  TTK  NUP155  PIKFYVE  TRAK2  ALMS1  SSX2IP  BLZF1  CAMSAP2  PLS1  NCAPH  MND1  IFT81  CENPK  TUBA1B  STIL  HJURP  DLGAP5  MACF1  AKAP9  PEX1  POT1  STRIP2  CLIP1  TOP2A  NES  USPL1  ROCK2  HOOK1  WASHC4  CKAP2  BORA  SETDB2  BRIP1  SMC2  CDK5RAP2  DSCC1  NUSAP1  KIF23  TTLL7  KIF11  SEC31A  SEC24B  NEDD1  GAS2L3  IQGAP1  SSH2  NUF2  EML4  LNPK  FANCD2  CENPC  PHIP  ARHGAP18  MTFR2  NCAPG2  ADD3  MKI67  NCAPD3  CENPJ  DCLRE1C  PLEKHH2  SKA1  EME1  APOOL  NUP205  FBXO43  SASS6  VPS8  BUB1B  WDR19  TAOK1  RACGAP1  CLASP2  SPICE1  NIPBL  DLC1  RAD21  WASHC5  BRWD3  NEMF  CEP295  C2CD3  CEP120  BUB1  MTM1  ESCO2  ATF7IP  CEP83  ZWILCH  CEP135  ATR  UBE2C  CKAP5  ERCC4  LYSMD3  RTTN  RMI1  AURKB  CEP63  KNTC1  CDCA2  KIF24  SYCP2  MYO6  RAD54B  BLM  CD2AP  OPA1  PRC1  PRKDC  XRN1  AP1G1  BAZ1B  UFL1  SLC4A7  WNK1  SYT1  HSP90AA1  TPX2  CDC45  SPG11  MET  RAD51AP1  SMC4  KAT2B  NEK2  USP9X  CNOT1  MCM8  SGO1  MOSPD2  SYNE1  GINS2  PRKAA1  MARCHF7  DNA2  CENPE  PLK4  KIF2C  RASA1  GINS4  CHEK1  EIF5B  CIP2A  TOPBP1  SKA3  TSC1  HSP90B1  MMGT1  CDK1  ARL6IP1  DHX36  TRAF6  DDX3X  BRCA1  POLQ  ASPM  PSME4  EXOC5  SPAG5  XPO1  PDS5B  ATRX  RRN3  TRPM7  KIAA0586  DAAM1  SMCHD1  TJP1  MDM1  MAN2A1  ECT2  EHBP1  ATF2  MASTL  PIK3CA  PDS5A  HAT1  FIGNL1  AP3B1  RFC3  CEP350  RC3H1  DNAJC13  ZGRF1  USO1  BRCA2  PIK3R1  C9orf72  CEP78  EPS8  PAN3  USP16  CCNB2  CENPN  MARF1  RRM1  KIF5B  MTBP  CCNE2  FIGN  IL1RAP  NF1  PLIN5  ARHGEF28  MPHOSPH9  PPP1R12A  INTS13  SLK  ARFGEF1  CDC6  MSH2  EEA1  ARHGAP21  GNPTAB  MSH3  RAB3GAP1  DOCK7  KIF14  FASTKD2  NUP153  COG6  GCC2  KNL1  KIF21A  RB1  NCOR1  CLTC  HMCN1  NEK7  SPC25  AHCTF1  TBC1D31  SMG1  SON  SMC6  ARHGAP12  NEMP1  TRAPPC11  PDCD6IP  HASPIN  GEN1  PRPF40A  XRCC2  LRBA  DOP1A  MTIF2  WDR11  KIF15  ATP7A  MYBL1  SEMA6A  JAK2  ERBIN  CENPF  SHLD2  KIF20B  PBRM1  ARID2  RFC1  EPS15  SEC23IP  CDC25C  EXO1"
8.43995573421162e-46,156,1207,3.75281519475966,"GO:0051726 Regulation of cell cycle ","https://amigo.geneontology.org/amigo/term/GO:0051726"," CDC27  DBF4  BRCA1  MRE11  TPR  USP28  INTS13  TP53BP1  TRIP13  RBL1  ORC1  WDR76  CLSPN  CDC6  CCP110  NBN  BIRC2  FBXO5  TTK  ALMS1  CENPF  DLGAP5  BORA  CDK5RAP2  RB1  TICRR  DTL  FANCD2  MKI67  EME1  FBXO43  BUB1B  CDC25C  BRINP3  SPICE1  TOPBP1  CDC25A  TSC1  CEP295  CEP120  BUB1  CDK1  MTBP  ZWILCH  ATR  UBE2C  CCNE2  AURKB  LIN9  KNTC1  CDCA2  BAZ1B  UFL1  WNK1  PRR11  RAD51AP1  KAT2B  ECT2  STIL  KAT7  NUSAP1  PLK4  CHEK1  NEK7  CENPJ  PTPRK  SASS6  RACGAP1  E2F7  RRM1  RRM2  BLM  PRC1  E2F2  ZZZ3  SPDL1  ASPM  SPAG5  XPO1  ATRX  TPX2  MSH2  NCAPG  MDM1  SMC4  NCAPH  E2F8  FIGNL1  ROCK2  SMC2  KIF20B  BRCA2  NCAPG2  CDK19  USP16  CUL4B  SON  RAD21  DDIAS  CDK12  ATAD5  SPDYE18  ATP2B4  PKN2  LRP6  RAD18  NDC80  CDC5L  CDC7  ATF2  NEK2  KIF14  MASTL  CIT  CLOCK  EPC2  KIF23  KNL1  KIF11  DNA2  CENPE  IQGAP1  CLTC  KIF2C  INTS7  UHMK1  AHCTF1  SKA1  TAOK1  SMC6  SKA3  PDCD6IP  SLFN11  HASPIN  GEN1  PIK3R4  PRPF40A  DDX3X  PRKDC  NCAPD2  NCAPD3  PHIP  CEP63  GTSE1  RBBP8  BRIP1  BARD1  NUF2  SPC25  PBRM1  ARID2  ANLN  CDC45  EIF4G2  CCNT1  IPO7"
7.44098303429165e-41,95,497,5.55017998126085,"GO:0000280 Nuclear division ","https://amigo.geneontology.org/amigo/term/GO:0000280"," NCAPD2  SPDL1  TPR  TRIP13  CLASP1  TOP2B  NDC80  RAD54L  CEP192  CENPI  NCAPG  FBXO5  TTK  NCAPH  MND1  CENPK  TOP2A  BORA  BRIP1  SMC2  CDK5RAP2  NUSAP1  KIF23  KIF11  NUF2  FANCD2  CENPC  NCAPG2  MKI67  NCAPD3  EME1  FBXO43  BUB1B  RACGAP1  CLASP2  SPICE1  BUB1  ZWILCH  ERCC4  RMI1  KNTC1  CDCA2  SYCP2  RAD54B  PRC1  BAZ1B  TPX2  RAD51AP1  SMC4  KAT2B  CENPE  CHEK1  SKA1  SKA3  CDK1  UBE2C  AURKB  MRE11  NDC1  ASPM  NEK2  MASTL  SGO1  FIGNL1  BRCA2  EPS8  USP16  CCNB2  NIPBL  RAD21  WASHC5  MARF1  MTBP  CCNE2  SMC1A  SPAG5  KIF4A  STAG2  SMC3  KIF14  KNL1  RB1  KIF2C  EML4  HASPIN  GEN1  PHIP  KIF15  MYBL1  CENPF  DLGAP5  KIF20B  SPC25  ANLN  CDC25C"
2.19274191627581e-40,99,549,5.23603692106179,"GO:0048285 Organelle fission ","https://amigo.geneontology.org/amigo/term/GO:0048285"," NCAPD2  SPDL1  TPR  TRIP13  CLASP1  TOP2B  NDC80  RAD54L  DNM1L  CEP192  CENPI  NCAPG  FBXO5  TTK  NCAPH  MND1  CENPK  TOP2A  BORA  BRIP1  SMC2  CDK5RAP2  NUSAP1  KIF23  KIF11  NUF2  FANCD2  CENPC  MTFR2  NCAPG2  MKI67  NCAPD3  EME1  FBXO43  BUB1B  RACGAP1  CLASP2  SPICE1  WASHC5  BUB1  ZWILCH  ERCC4  RMI1  KNTC1  CDCA2  SYCP2  RAD54B  PRC1  BAZ1B  TPX2  RAD51AP1  SMC4  KAT2B  CENPE  CHEK1  SKA1  SKA3  CDK1  UBE2C  AURKB  MRE11  NDC1  ASPM  NEK2  MASTL  SGO1  FIGNL1  AP3B1  BRCA2  EPS8  USP16  CCNB2  NIPBL  RAD21  MARF1  MTBP  CCNE2  SMC1A  SPAG5  KIF4A  STAG2  SMC3  KIF14  KNL1  RB1  KIF2C  EML4  HASPIN  GEN1  PHIP  KIF15  MYBL1  CENPF  DLGAP5  KIF20B  SPC25  ANLN  CDC25C  OPA1"
1.46123197034103e-38,79,356,6.44342745725147,"GO:0098813 Nuclear chromosome segregation ","https://amigo.geneontology.org/amigo/term/GO:0098813"," CDC27  NCAPD2  SPDL1  TPR  CLASP1  TOP2B  NDC80  KIF4A  CEP192  CENPI  NCAPG  TTK  CENPF  NCAPH  CENPK  TOP2A  SMC2  CDK5RAP2  NUSAP1  KIF23  KNL1  KIF11  NUF2  FANCD2  CENPC  NCAPG2  NCAPD3  BUB1B  RACGAP1  CLASP2  SPICE1  BUB1  ZWILCH  UBE2C  KNTC1  PRC1  BAZ1B  TPX2  FBXO5  SMC4  KAT2B  MND1  SGO1  CENPE  SPC25  SKA1  SKA3  CDK1  AURKB  MRE11  NDC1  ASPM  TRIP13  SPAG5  NEK2  BRIP1  CCNB2  NIPBL  RAD21  WASHC5  CCNE2  CENPQ  SMC1A  CDC6  STAG2  SMC3  ECT2  KIF14  RB1  KIF2C  EML4  HASPIN  GEN1  KIF15  DLGAP5  DSN1  PBRM1  ARID2  SYCP2"
4.23333938592853e-38,132,1023,3.74660706375096,"GO:0006974 Dna damage response ","https://amigo.geneontology.org/amigo/term/GO:0006974"," RECQL  BAZ1B  BRCA1  MRE11  USP28  POLQ  TP53BP1  RAD18  HLTF  MCM6  POLD3  PALB2  RAD54L  WDR76  CLSPN  CDC45  MSH2  CDC7  POLE2  POLI  RBBP8  NBN  NEIL3  RAD51AP1  MSH3  MSH6  TTF2  SHLD2  DEK  MCM8  GINS2  RFC3  BRIP1  ZGRF1  BRCA2  TICRR  DTL  FANCD2  MMS22L  GINS4  DCLRE1C  TRIP12  EME1  CUL4B  SMC6  TOPBP1  NIPBL  RAD21  CDK1  EXO1  ATR  ERCC4  RMI1  FANCB  PARPBP  XRCC2  RAD54B  BLM  WDHD1  DCLRE1A  PRKDC  PPP4R3B  TAF9B  UFL1  PIAS1  ATF2  USP9X  POT1  TOP2A  FIGNL1  EPC2  KAT7  DNA2  CHEK1  USP16  SMG1  TAOK1  USP1  CIP2A  OTUD4  E2F7  FAM111A  RRM1  SLFN11  MSL2  MYO6  TOPORS  RFC1  MTREX  FNIP2  MCM10  PSME4  TRIP13  SMC1A  TOP2B  ATRX  SUPT16H  CDC5L  SMCHD1  POLA1  SMC3  PDS5A  CLOCK  EPRS1  BARD1  FANCI  INTS7  PIK3R1  EMSY  CHAF1B  SMARCAD1  DDIAS  MARF1  ESCO2  TRAF6  ATAD5  GEN1  CEP63  BCLAF1  NEDD4  CBX5  FBXO5  MARCHF7  BACH1  ARID2  MASTL  TAF2  GTSE1  PARP4  KAT2B  TAF5  PBRM1"
3.59464521759604e-36,71,303,6.80386315785136,"GO:0140014 Mitotic nuclear division ","https://amigo.geneontology.org/amigo/term/GO:0140014"," NCAPD2  SPDL1  TPR  CLASP1  NDC80  CEP192  CENPI  NCAPG  FBXO5  TTK  NCAPH  CENPK  BORA  SMC2  CDK5RAP2  NUSAP1  KIF23  KIF11  NUF2  CENPC  NCAPG2  MKI67  NCAPD3  FBXO43  BUB1B  RACGAP1  CLASP2  SPICE1  BUB1  ZWILCH  KNTC1  CDCA2  PRC1  BAZ1B  TPX2  SMC4  KAT2B  CENPE  CHEK1  SKA1  SKA3  CDK1  UBE2C  AURKB  NEK2  EPS8  USP16  NIPBL  RAD21  MTBP  TRIP13  SMC1A  SPAG5  KIF4A  STAG2  SMC3  KIF14  KNL1  RB1  KIF2C  EML4  HASPIN  GEN1  PHIP  KIF15  CENPF  DLGAP5  KIF20B  SPC25  ANLN  CDC25C"
7.52174973388837e-36,133,1089,3.54620315056134,"GO:0006259 Dna metabolic process ","https://amigo.geneontology.org/amigo/term/GO:0006259"," RECQL  DBF4  BRCA1  MRE11  POLQ  MCM10  RAD18  TRIP13  HLTF  MCM6  TOP2B  POLD3  PALB2  ATRX  ORC1  RAD54L  CDC45  MSH2  CDC7  POLE2  DICER1  POLI  RBBP8  POLA1  NBN  NEIL3  RAD51AP1  MSH3  MSH6  TTF2  MND1  SHLD2  DEK  MCM8  POT1  GINS2  TOP2A  RFC3  ORC3  BRIP1  DNA2  ZGRF1  BRCA2  TICRR  FANCD2  MMS22L  GINS4  DCLRE1C  EME1  SMC6  TOPBP1  NIPBL  RAD21  FAM111A  NOC3L  EXO1  ATR  ERCC4  RMI1  FANCB  PARPBP  FAM111B  XRCC2  RAD54B  BLM  PRIM1  WDHD1  DCLRE1A  PRKDC  XRN1  RFC1  TP53BP1  HSP90AA1  USP9X  FIGNL1  EPC2  KAT7  DSCC1  DTL  CHEK1  CUL4B  USP1  OTUD4  RRM1  SLFN11  GEN1  UFL1  USP28  PSME4  SMC1A  N4BP2  SUPT16H  CLSPN  CDC6  CDC5L  SMCHD1  SMC3  CENPF  APAF1  PDS5A  E2F8  BARD1  FANCI  CCNA2  TRIP12  SMG1  EMSY  CHAF1B  TAOK1  SMARCAD1  E2F7  MARF1  TET2  CDK1  ESCO2  CCNE2  ATAD5  LIN9  FBXO5  NEK2  NEK7  BACH1  DHX36  AURKB  ARID2  PPP4R3B  TAF2  PARP4  KAT2B  TAF5  PBRM1  CDC25A  KPNA2"
